city,meal_at_an_inexpensive_restaurant,cappuccino_regular_size,basic_utilities_for_85_m2apartment_electricity_heating_cooling_water_garbage,broadband_internet_unlimited_data_60_mbps_or_higher,1_bedroom_apartment_in_city_centre,price_per_square_meter_to_buy_apartment_outside_of_centre,average_monthly_net_salary_after_tax,annual_mortgage_interest_rate_20_year_fixed_in_,market_basket_index,transportation_cost_index,sports_leisure_index,childcare_cost_index,predicted_salary_lr,predicted_salary_rf,city_cluster,SalaryToRent,SalaryToMarket
Mumbai,500.0,252.09,5399.37,834.29,61178.57,250718.81,68877.42,8.5,1161.4099999999999,835.21,4086.42,52311.6175,82561.02475490206,76102.28661648805,0,1.1258422679706308,59.30499995694889
Delhi,500.0,223.18,4864.08,764.41,24518.52,87901.58,49749.73,9.32,1102.45,1848.56,3244.23,22054.92,59957.16888724513,65758.04754301591,1,2.02906741516209,45.12651820944261
Bangalore,250.0,221.77,2780.36,901.49,30050.0,86930.28,81315.32,8.62,1138.6400000000003,1804.41,2582.54,40522.730833333335,66236.28801720384,86827.01153184519,0,2.7060006655574047,71.41442422539168
Hyderabad,250.0,188.18,4017.8,780.7,20727.27,72842.71,114281.02,9.06,1082.84,1547.44,2892.6400000000003,30513.8525,54235.72558995905,82177.84918786703,0,5.513558707924392,105.53823279524215
Ahmedabad,300.0,212.27,4924.86,753.94,16945.45,54722.99,43807.69,8.9,1173.11,1170.17,2396.96,15067.1025,46897.349086686365,46528.99360659179,1,2.5852184509706144,37.343207371857716
Chennai,200.0,162.65,3935.86,696.5,16611.11,65093.92,69680.56,9.8,1167.08,1515.97,2277.5,19740.328333333335,43441.21330714862,56448.769625356515,1,4.194816601659973,59.70504164238955
Kolkata,200.0,143.68,5637.51,677.0,14562.5,54181.25,40674.4,9.8,1029.2500000000002,575.56,2485.48,15600.714166666667,36981.015993432586,40215.39733556364,1,2.7930918454935623,39.51848433325236
Surat,300.0,168.57,3496.9,697.92,20757.14,29774.74,31250.0,9.17,958.41,797.25,2755.21,10166.669166666667,42663.51442323623,42300.5245030373,1,1.5055060571928502,32.6060871652007
Pune,400.0,223.91,3111.81,763.64,25125.0,100864.46,110041.67,8.73,1151.9800000000002,1413.15,3139.48,29428.033333333333,61064.071995157785,87293.3030411111,0,4.379767960199005,95.52394138787129
Jaipur,250.0,142.69,4426.76,708.47,15246.15,37297.26,38877.5,8.9,1003.8300000000002,1433.37,2187.12,24238.86666666667,44457.81991733806,36749.412003091245,1,2.5499880297648914,38.729167289282046
Lucknow,145.0,156.96,4711.54,688.78,12333.33,50321.87,34431.27,8.53,902.25,1368.94,2289.58,11608.333333333332,36947.79089816682,34858.824862246656,2,2.791725349114959,38.16156275976724
Kanpur,200.0,147.0,4387.5,433.33,10400.0,50887.6,32844.8,8.64,893.69,918.92,2108.33,61344.44416666666,46435.74449781803,32099.63917536841,1,3.1581538461538465,36.75189383343218
Nagpur,300.0,173.33,7000.0,625.0,25285.71,51166.84,34075.6,8.8,1005.67,1072.64,3229.17,18583.333333333336,42401.192844029174,43636.30034933544,1,1.3476228272807051,33.88348066463154
Indore,250.0,124.0,3075.72,832.23,14488.89,50775.54,36046.15,9.7,926.26,827.99,3209.07,16250.0,46603.29990611561,36628.05115561102,1,2.487847585287762,38.91580117893464
Thane,400.0,160.0,5027.65,537.25,24320.0,136970.07,33500.0,8.66,1138.71,887.4,2535.0,18499.996666666666,44065.93710572399,46627.37892570586,1,1.377467105263158,29.419255122024044
Bhopal,250.0,198.33,2500.0,699.4,13650.0,36980.1,35088.2,9.0,988.77,945.4300000000001,2390.0,26388.8925,48451.71791811393,35080.83460815663,1,2.570564102564102,35.48671581864336
Visakhapatnam,240.0,171.67,3125.0,490.0,13516.67,44465.83,38000.0,8.75,1047.15,1776.84,2425.0,17770.83,38057.26329256256,37968.38826426437,1,2.8113433264258134,36.288974836460866
Patna,200.0,155.0,3833.33,640.0,7863.33,48135.09,33160.31,9.46,886.73,849.6800000000001,3345.83,17633.333333333336,39394.64506354141,34852.342730243945,1,4.217082330259572,37.39617470932527
Vadodara,200.0,172.22,6249.1,706.88,13928.57,47528.01,44951.85,8.73,1023.2199999999999,1018.48,2822.2200000000003,19333.25,41001.21226452442,41460.4397905314,1,3.227312638698732,43.93175465686754
Ghaziabad,250.0,172.5,4506.39,759.6,12933.33,69236.19,36520.0,9.21,991.16,1894.67,2196.67,20152.777499999997,47313.51114911826,37202.464375459385,1,2.823712067967028,36.845716130594454
Ludhiana,250.0,165.0,5068.96,557.8,16333.33,47500.0,40812.67,8.62,987.9399999999999,2037.85,2320.0,18375.0,39528.0455092308,39579.480638533314,1,2.498735407905185,41.31087920319048
Agra,300.0,185.71,5333.33,660.25,11500.0,16000.0,27750.0,8.33,1107.1299999999999,1833.14,2765.0,13700.003333333334,41714.28347655675,34380.477149327315,1,2.4130434782608696,25.0648072042127
Nashik,275.0,178.75,2150.0,616.5,13375.0,46369.93,29486.19,9.24,1019.2400000000001,773.05,2930.0,10647.899166666666,40687.262085585986,32286.39664445808,1,2.204574953271028,28.92958478866606
Faridabad,376.5,167.5,4875.0,560.0,10683.33,200000.0,33180.0,10.08,971.0,1329.5500000000002,2533.33,22333.333333333336,46748.13996634475,40234.6340908262,1,3.1057731999292355,34.170957775489185
Meerut,300.0,195.0,3994.32,495.6,14333.33,22500.0,43750.0,8.12,794.3699999999999,949.22,2475.0,13000.0,36820.17546719511,44062.97334249652,2,3.0523262912386726,55.07509095257878
Rajkot,177.5,156.0,2900.0,500.0,12040.0,56400.0,23958.77,10.12,997.45,865.03,2602.7799999999997,21937.496666666666,36444.31844591333,31410.778015945507,1,1.9899310631229237,24.0200210536869
Kalyan,300.0,168.57,3675.0,537.25,16000.0,87662.16,55750.0,8.77,1063.2400000000002,1044.07,2558.33,18499.996666666666,41057.325668876714,49206.63381941481,1,3.484375,52.434069448102015
Dombivli,250.0,168.75,3375.0,700.0,16750.0,53819.55,43333.33,9.29,1078.07,686.9,1775.0,21520.836666666666,44044.87666272544,43692.139472194016,1,2.5870644776119405,40.19528416522119
Vasai,200.0,93.33,2154.09,533.33,8666.67,43055.64,34500.0,8.73,977.0100000000001,1536.43,2875.0,18500.003333333334,35518.780702418684,34307.43889237559,1,3.9807676997047308,35.31181871219332
Varanasi,145.0,156.96,1200.0,658.33,11000.0,32291.73,55000.0,8.53,786.4599999999999,1176.94,1841.67,11608.333333333332,37905.9189414341,48492.5790373193,2,5.0,69.93362663072503
Srinagar,250.0,125.0,4125.0,640.0,7250.0,47500.0,42400.0,8.93,1105.08,940.89,2925.0,14263.889166666666,37068.33720309965,39430.502711277004,1,5.848275862068966,38.36826293119051
Aurangabad,300.0,126.0,2383.59,750.0,15400.0,86111.28,44500.0,9.6,1074.57,1237.49,2275.0,14875.003333333334,45888.08637128693,44363.25832231725,1,2.8896103896103895,41.411913602650365
Dhanbad,150.0,130.0,3833.33,640.0,5666.67,47500.0,36261.0,9.0,850.64,1136.5,1916.67,10117.194166666668,32691.161325377885,35076.054870860746,2,6.398996235884567,42.627903696040626
Amritsar,150.0,150.0,4998.49,602.46,6000.0,60000.0,50000.0,8.0,911.9399999999998,2402.79,2791.67,7333.333333333333,33953.63656868134,43273.972289928206,1,8.333333333333334,54.82816851985877
Navi-Mumbai,200.0,168.75,4530.0,700.0,27277.78,119684.22,63650.0,9.29,1122.49,764.08,2944.44,22104.166666666664,46591.45219647243,62701.891509285706,0,2.3334010319021563,56.70429135226149
Haora-India,200.0,133.33,4250.0,599.67,11000.0,47500.0,34000.0,9.8,1016.5100000000001,1136.5,2290.625,12555.56,34315.58880789555,34164.37495991468,1,3.090909090909091,33.44777719845353
Ranchi,300.0,140.0,5875.0,662.25,9700.0,69965.42,28500.0,15.58,768.92,2390.85,3425.0,15249.996666666666,43208.21690736381,36198.13437310739,1,2.9381443298969074,37.06497424959684
Jabalpur,200.0,130.0,5166.67,546.67,8875.0,67274.44,28566.67,9.73,909.7,795.14,2287.5,13333.333333333334,31553.574022146604,31815.813913029986,2,3.2187797183098588,31.402297460701327
Gwalior-India,200.0,143.33,5375.0,590.0,9375.0,30954.89,40000.0,9.83,875.25,665.14,2950.0,9944.440833333334,31947.53783328017,35933.5635472949,2,4.266666666666667,45.701228220508426
Coimbatore,120.0,135.33,2941.85,686.0,12983.33,59229.93,36640.98,9.83,1002.1400000000001,1394.57,1779.77,17462.96,38588.87309145899,36076.443203249066,2,2.82215579516195,36.56273574550462
Vijayawada,150.0,294.0,3097.32,718.75,12066.67,36700.0,28750.0,10.2,969.6599999999999,1176.45,2709.44,21891.67,49237.90546055277,34059.62780430432,1,2.382596026907175,29.649567889775803
Jodhpur,200.0,198.75,10333.33,637.0,11000.0,69218.8,35800.0,14.38,826.6700000000001,713.46,1650.0,15861.107499999998,33167.371590998555,36430.36448219996,2,3.2545454545454544,43.30627699081858
Madurai,160.0,150.0,1981.25,632.5,14100.0,44725.25,33054.19,9.8,1190.08,1366.18,2416.67,18812.496666666666,40214.807080015504,38047.76859474321,1,2.3442687943262412,27.774763041140094
Raipur,275.0,163.57,3625.0,533.33,8050.0,33428.42,18894.38,8.88,978.0699999999999,861.08,3183.33,15069.4475,36874.25357478529,26834.439672846886,1,2.347127950310559,19.318024272291353
Kota-India,204.0,63.33,1250.0,600.0,13750.0,32291.73,40708.33,7.5,859.1,2828.37,2290.625,8458.333333333332,35981.98451514536,37556.408786535714,1,2.9606058181818184,47.38485624490746
